"median","date_column"
389043,"2021-04-21"
612415,"2021-04-21"
371382,"2021-04-21"
370508,"2021-04-21"
394845,"2021-04-21"
400077,"2021-04-21"
404487,"2021-04-21"
417028,"2021-04-21"
625856,"2021-04-21"
626844,"2021-04-21"
664930,"2021-04-21"
449483,"2021-04-21"
459103,"2021-04-21"
420788,"2021-04-21"
376903,"2021-04-21"
426493,"2021-04-21"
374428,"2021-04-21"
426563,"2021-04-21"
416190,"2021-04-21"
444279,"2021-04-21"
394350,"2021-04-21"
405699,"2021-04-21"
427991,"2021-04-21"
405123,"2021-04-21"
403852,"2021-04-21"
412651,"2021-04-21"
575888,"2021-04-21"
379618,"2021-04-21"
449407,"2021-04-21"
408865,"2021-04-21"
644204,"2021-04-22"
677186,"2021-04-22"
419223,"2021-04-22"
416362,"2021-04-22"
400921,"2021-04-22"
392703,"2021-04-22"
398576,"2021-04-22"
385826,"2021-04-22"
579409,"2021-04-22"
391590,"2021-04-22"
395274,"2021-04-22"
388862,"2021-04-22"
393058,"2021-04-22"
403329,"2021-04-22"
411891,"2021-04-22"
387553,"2021-04-22"
381778,"2021-04-22"
395234,"2021-04-22"
391606,"2021-04-22"
382202,"2021-04-22"
635590,"2021-04-22"
404135,"2021-04-22"
406961,"2021-04-22"
684568,"2021-04-23"
393717,"2021-04-23"
400735,"2021-04-23"
412505,"2021-04-23"
606165,"2021-04-23"
584882,"2021-04-23"
390229,"2021-04-23"
426527,"2021-04-23"
428434,"2021-04-23"
427868,"2021-04-23"
364799,"2021-04-23"
382796,"2021-04-23"
367059,"2021-04-23"
424079,"2021-04-23"
365234,"2021-04-23"
366080,"2021-04-23"
364024,"2021-04-23"
363216,"2021-04-23"
394254,"2021-04-23"
681146,"2021-04-26"
415401,"2021-04-26"
389411,"2021-04-26"
405725,"2021-04-26"
399907,"2021-04-26"
400591,"2021-04-26"
381391,"2021-04-26"
398372,"2021-04-26"
423663,"2021-04-26"
396651,"2021-04-26"
402948,"2021-04-26"
401331,"2021-04-26"
387621,"2021-04-26"
396477,"2021-04-26"
376418,"2021-04-26"
402842,"2021-04-26"
385283,"2021-04-26"
407992,"2021-04-26"
404330,"2021-04-26"
419993,"2021-04-26"
407922,"2021-04-26"
393085,"2021-04-26"
403844,"2021-04-26"
383858,"2021-04-26"
384156,"2021-04-26"
491643,"2021-04-27"
670169,"2021-04-27"
662048,"2021-04-27"
389198,"2021-04-27"
425601,"2021-04-27"
407649,"2021-04-27"
574552,"2021-04-27"
403290,"2021-04-27"
374529,"2021-04-27"
383229,"2021-04-27"
378793,"2021-04-27"
577319,"2021-04-27"
400527,"2021-04-27"
363145,"2021-04-27"
394756,"2021-04-27"
393503,"2021-04-27"
595038,"2021-04-27"
1068599,"2021-04-28"
765313,"2021-04-28"
369149,"2021-04-28"
895241,"2021-04-28"
367074,"2021-04-28"
842797,"2021-04-28"
948276,"2021-04-28"
375087,"2021-04-28"
390830,"2021-04-28"
389224,"2021-04-28"
373173,"2021-04-28"
380313,"2021-04-28"
430582,"2021-04-28"
377728,"2021-04-28"
396557,"2021-04-28"
368196,"2021-04-28"
413134,"2021-04-28"
413021,"2021-04-28"
1160087,"2021-04-28"
1155263,"2021-04-29"
420439,"2021-04-29"
1105873,"2021-04-29"
982019,"2021-04-29"
366297,"2021-04-29"
879705,"2021-04-29"
406101,"2021-04-29"
408033,"2021-04-29"
402684,"2021-04-29"
409846,"2021-04-29"
387685,"2021-04-29"
968853,"2021-04-29"
380143,"2021-04-29"
403245,"2021-04-29"
377302,"2021-04-29"
390738,"2021-04-29"
1101630,"2021-04-29"
1043693,"2021-04-29"
552718,"2021-04-29"
423888,"2021-04-29"
412184,"2021-04-29"
426346,"2021-04-29"
447149,"2021-04-29"
386414,"2021-04-30"
1202129,"2021-04-30"
1187709,"2021-04-30"
933047,"2021-04-30"
923257,"2021-04-30"
505479,"2021-04-30"
881311,"2021-04-30"
410000,"2021-04-30"
422983,"2021-04-30"
417227,"2021-04-30"
418488,"2021-04-30"
427340,"2021-04-30"
414621,"2021-04-30"
404412,"2021-04-30"
399381,"2021-04-30"
1009451,"2021-04-30"
418858,"2021-04-30"
401879,"2021-04-30"
399539,"2021-04-30"
384268,"2021-04-30"
386741,"2021-04-30"
429196,"2021-04-30"
413201,"2021-04-30"
374342,"2021-04-30"
375207,"2021-04-30"
413496,"2021-04-30"
382520,"2021-04-30"
938538,"2021-04-30"
965162,"2021-04-30"
875651,"2021-05-02"
997274,"2021-05-02"
382469,"2021-05-03"
381886,"2021-05-03"
394446,"2021-05-03"
391354,"2021-05-03"
389578,"2021-05-03"
402323,"2021-05-03"
387516,"2021-05-03"
381085,"2021-05-03"
1083144,"2021-05-03"
932249,"2021-05-03"
903229,"2021-05-03"
405869,"2021-05-03"
402689,"2021-05-03"
930703,"2021-05-03"
391588,"2021-05-03"
393372,"2021-05-03"
937991,"2021-05-03"
376293,"2021-05-03"
1181659,"2021-05-03"
401514,"2021-05-03"
392241,"2021-05-03"
383672,"2021-05-03"
389131,"2021-05-03"
389896,"2021-05-03"
387531,"2021-05-03"
416538,"2021-05-04"
1085868,"2021-05-04"
407021,"2021-05-04"
963080,"2021-05-04"
411679,"2021-05-04"
433622,"2021-05-04"
395683,"2021-05-04"
400825,"2021-05-04"
401188,"2021-05-04"
400776,"2021-05-04"
419616,"2021-05-04"
371994,"2021-05-04"
435180,"2021-05-04"
432592,"2021-05-04"
367901,"2021-05-04"
404560,"2021-05-04"
1242133,"2021-05-04"
414685,"2021-05-04"
429716,"2021-05-04"
507176,"2021-05-04"
415451,"2021-05-04"
1293106,"2021-05-04"
381265,"2021-05-04"
389671,"2021-05-04"
411875,"2021-05-04"
414701,"2021-05-04"
402553,"2021-05-04"
1112832,"2021-05-04"
378595,"2021-05-04"
408995,"2021-05-04"
384200,"2021-05-04"
381439,"2021-05-04"
1075633,"2021-05-04"
387050,"2021-05-04"
390101,"2021-05-04"
370214,"2021-05-04"
376905,"2021-05-04"
418059,"2021-05-04"
414251,"2021-05-04"
397423,"2021-05-04"
404777,"2021-05-04"
421927,"2021-05-04"
1283458,"2021-05-05"
897625,"2021-05-05"
1117040,"2021-05-05"
878197,"2021-05-05"
